CASE,RAD?,TRIM?,MACH,RE,BETA,PHI,SREF,XCG,XMRP,LREF,LATREF,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,DEFL_1_5,DEFL_1_6,DEFL_1_7,DEFL_1_8,ALPHA,CN法向力系数,CM俯仰力矩系数,CA轴向力系数,CA_0B,CA_FB,CY侧向力系数,CLN偏航力矩系数,CLL,CL升力系数,CD阻力系数,CL/CD,X-C.P.,CNA,CMA,BA_CN,BA_CM,BA_CA,BA_CY,BA_CLN,BA_CLL,BA_CL,BA_CD,BA_CL/CD,BA_X-C.P.,BA_CNA,BA_CMA,CYB,CLNB,CLLB,BA_CYB,BA_CLNB,BA_CLLB
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-4,-0.2117,0.3357,0.0941,0.0885,0.0941,0.2117,-0.3357,0,-0.2046,0.1086,-1.8835,-1.5856,0.0518,-0.0913,-0.0191,-0.2791,0.0948,0.0191,0.2791,0,-0.0124,0.0959,-0.1297,14.6174,0.0012,0.0702,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-3.5,-0.1857,0.2906,0.0957,0.0901,0.0957,0.212,-0.3314,0,-0.1795,0.1069,-1.6799,-1.5651,0.0522,-0.0889,-0.0182,-0.244,0.0947,0.0208,0.279,0,-0.0124,0.0957,-0.1291,13.4289,0.0025,0.0701,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-3,-0.1595,0.2468,0.0971,0.0916,0.0971,0.2123,-0.3277,0,-0.1542,0.1053,-1.4635,-1.5475,0.0526,-0.0867,-0.0166,-0.209,0.0947,0.0222,0.2789,0,-0.0117,0.0954,-0.1222,12.5583,0.0036,0.0699,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-2.5,-0.1331,0.2039,0.0983,0.0928,0.0983,0.2126,-0.3248,0,-0.1287,0.104,-1.2366,-1.5326,0.053,-0.0846,-0.0146,-0.1741,0.0947,0.0234,0.2788,0,-0.0105,0.0952,-0.1098,11.919,0.0046,0.0698,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-2,-0.1065,0.1621,0.0993,0.0937,0.0993,0.2128,-0.3234,0,-0.1029,0.1029,-1.0001,-1.5232,0.0533,-0.0828,-0.012,-0.1392,0.0947,0.024,0.2788,0,-0.0087,0.095,-0.0914,11.6085,0.0056,0.0696,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-1.5,-0.0798,0.1211,0.0999,0.0944,0.0999,0.2132,-0.3243,0,-0.0771,0.102,-0.756,-1.519,0.0531,-0.0809,-0.009,-0.1044,0.0947,0.0242,0.2788,0,-0.0066,0.0949,-0.0692,11.5437,0.0059,0.0696,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-1,-0.0533,0.0812,0.1004,0.0948,0.1004,0.2142,-0.3273,0,-0.0516,0.1013,-0.5093,-1.5231,0.0529,-0.08,-0.0061,-0.0696,0.0947,0.0242,0.2789,0,-0.0044,0.0948,-0.0464,11.5051,0.006,0.0696,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,-0.5,-0.0268,0.0411,0.1006,0.095,0.1006,0.2155,-0.3314,0,-0.026,0.1008,-0.2574,-1.5332,0.0533,-0.0812,-0.003,-0.0348,0.0947,0.0242,0.279,0,-0.0022,0.0947,-0.0232,11.5296,0.0061,0.0696,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0.1007,0.0951,0.1007,0.2159,-0.3326,0,0,0.1007,0,-0.0674,0.0537,-0.0823,0,0,0.0947,0.0242,0.279,0,0,0.0947,0,11.539,0.006,0.0696,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,0.5,0.0268,-0.0411,0.1006,0.095,0.1006,0.2155,-0.3314,0,0.026,0.1008,0.2574,-1.5332,0.0533,-0.0812,0.003,0.0348,0.0947,0.0242,0.279,0,0.0022,0.0947,0.0232,11.5296,0.0061,0.0696,0,0,0,0,0,0
1,0,0,0.5,70000000,-4,0,0.0113,0.285,2.375,0.12,0.12,0,0,0,0,0,0,0,0,1,0.0533,-0.0812,0.1004,0.0948,0.1004,0.2142,-0.3273,0,0.0516,0.1013,0.5093,-1.5231,0.0529,-0.08,0.0061,0.0696,0.0947,0.0242,0.2789,0,0.0044,0.0948,0.0464,11.5051,0.006,0.0696,0,0,0,0,0,0
